assessid,stockid,mgmt,assessor,years,start_year,report_year,method,methodshort,methodlong,country,region,area,areaid,stocklong,class,order,family,genus,species,species_orig,comm_name,assess_if_mostrecent,assesssource,state_of_stock,primary_country,primary_FAOarea,assess_notes,M,M_year,M_notes,M_source,M_source_notes,B_start,B_end,F_start,F_end,C_start,C_end,terminal_year,assess_order,ty,ty_minus1
NEFSC-AMPL5YZ-1960-2010-HIVELY,AMPL5YZ,NMFS,NEFSC,1960-2010,1960,2010,VPA,ADAPT,A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.,USA,US East Coast,Gulf of Maine / Georges Bank,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.nefsc.noaa.gov/,Current,USA,21,NULL,0.2,NULL,,NA,NA,1980,2010,1980,2010,1960,2010,2010,2,2010,2009
NEFSC-AMPL5YZ-1980-2014-SISIMP2016,AMPL5YZ,NMFS,NEFSC,1980-2014,1980,2014,VPA,VPA,Virtual Population Analysis,USA,US East Coast,Gulf of Maine / Georges Bank,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,,Current,USA,21,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1980,2014,1980,2014,1980,2014,2014,1,2010,2009
WGHANSA-ANCHIXa-1989-2016-ICESIMP2016,ANCHIXa,ICES,WGHANSA,1989-2016,1989,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/ane-pore.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,NA,NA,1999,2015,1989,2015,2015,3.5,2015,2014
WGHANSA-ANCHIXa-1989-2016-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1989-2016,1989,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ane-pore.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1999,2016,1999,2015,1989,2015,2015,3.5,2015,2014
WGHANSA-ANCHIXa-1989-2018-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1989-2018,1989,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1989,2018,1989,2017,NA,NA,2017,1.5,2015,2014
WGHANSA-ANCHIXa-1999-2017-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1999-2017,1999,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ane.27.9a.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1999,2017,NA,NA,NA,NA,2017,1.5,2015,2014
CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI,ANCHMEDGSA16,GFCM,CNR-IAMC,1998-2011,1998,2011,Biomass dynamics model,NELOG,Non-equilibrium logistic surplus production model,multinational,Mediterranean-Black Sea,South of Sicily,multinational-GFCM-GSA16,Anchovy South of Sicily,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,Current,Italy,37,time series obtained from figures using PlotDigitizer.,0.66,NULL,,NA,NA,1998,2011,1998,2011,1998,2011,2011,1.5,2011,2010
STECF-ANCHMEDGSA16-2004-2011-OSIO,ANCHMEDGSA16,GFCM,STECF,2004-2011,2004,2011,VPA,XSA,Extended Survivor Analysis,multinational,Mediterranean-Black Sea,South of Sicily,multinational-GFCM-GSA16,Anchovy South of Sicily,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf,Current,Italy,37,JRC Meeting: 2013-04_STECF 13-05,NA,NA,NA,NA,NA,2004,2011,2004,2011,2004,2011,2011,1.5,2011,2010
STECF-ANCHMEDGSA17-18-1975-2015-OSIO,ANCHMEDGSA17-18,GFCM,STECF,1975-2015,1975,2015,Statistical catch at age model,SAM,SAM,multinational,Mediterranean-Black Sea,"Adriatic Sea (GSA 17,18)",multinational-GFCM-GSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,https://stecf.jrc.ec.europa.eu/documents/43805/1517808/2016-12_STECF+16-22+-+MED+assessments+part+1_JRCxxx.pdf,Current,Italy,37,NULL,NA,NA,NA,NA,NA,1975,2015,1975,2015,1975,2015,2015,1,2013,2012
STECF-ANCHMEDGSA17-18-1976-2013-OSIO,ANCHMEDGSA17-18,GFCM,STECF,1976-2013,1976,2013,Statistical catch at age model,SAM,SAM,multinational,Mediterranean-Black Sea,"Adriatic Sea (GSA 17,18)",multinational-GFCM-GSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,https://stecf.jrc.ec.europa.eu/documents/43805/823106/2014-12_STECF+14-17+-+Med+stock+assessments+-+part+1_JRC93120.pdf,Current,Italy,37,JRC Meeting: EWG14_09,NA,NA,NA,NA,NA,1976,2013,1976,2013,1976,2013,2013,2,2013,2012
STECF-ANCHMEDGSA6-1945-2015-OSIO,ANCHMEDGSA6,GFCM,STECF,1945-2015,1945,2015,Biomass dynamics model,ASPIC,Surplus production model,multinational,Mediterranean-Black Sea,Northern Spain,multinational-GFCM-GSA6,Anchovy Northern Spain,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,https://stecf.jrc.ec.europa.eu/documents/43805/1517808/2016-12_STECF+16-22+-+MED+assessments+part+1_JRCxxx.pdf,Current,Spain,37,NULL,NA,NA,NA,NA,NA,1945,2015,1945,2015,1945,2015,2015,1,2009,2008
STECF-ANCHMEDGSA6-2002-2009-OSIO,ANCHMEDGSA6,GFCM,STECF,2002-2009,2002,2009,VPA,XSA,Extended Survivor Analysis,multinational,Mediterranean-Black Sea,Northern Spain,multinational-GFCM-GSA6,Anchovy Northern Spain,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf,Current,Spain,37,JRC Meeting: 10-05_SG-MED 10-02,NA,NA,NA,NA,NA,2002,2009,2002,2009,2002,2009,2009,2,2009,2008
