assessid,stockid,mgmt,assessor,years,start_year,report_year,method,methodshort,methodlong,country,region,area,areaid,stocklong,class,order,family,genus,species,species_orig,comm_name,assess_if_mostrecent,assesssource,state_of_stock,primary_country,primary_FAOarea,assess_notes,M,M_year,M_notes,M_source,M_source_notes,B_start,B_end,F_start,F_end,C_start,C_end,terminal_year,assess_order,ty,ty_minus1
DFO-PAC-HERRPRD-1949-2018-ASHBROOK,HERRPRD,DFO,DFO-PAC,1949-2018,1949,2018,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,Canada,Canada West Coast,Prince Rupert District,Canada-DFO-PRD,Pacific herring Prince Rupert District,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,999,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2018/2018_002-eng.html,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2018,NA,NA,1951,2016,2016,1,2007,2006
DFO-PAC-HERRPRD-1951-2007-COLLIE,HERRPRD,DFO,DFO-PAC,1951-2007,1951,2007,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,Canada,Canada West Coast,Prince Rupert District,Canada-DFO-PRD,Pacific herring Prince Rupert District,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,received from contact,Current,Canada,67,this is a test entry only,NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006
DFO-HERRQCI-1951-2015-WATSON,HERRQCI,DFO,DFO,1951-2015,1951,2015,Statistical catch at age model,SCA,Statistical catch-at-age model,Canada,Canada West Coast,Queen Charlotte Islands,Canada-DFO-QCI,Pacific herring Queen Charlotte Islands,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006
DFO-PAC-HERRQCI-1949-2018-ASHBROOK,HERRQCI,DFO,DFO-PAC,1949-2018,1949,2018,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,Canada,Canada West Coast,Queen Charlotte Islands,Canada-DFO-QCI,Pacific herring Queen Charlotte Islands,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,999,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2018/2018_002-eng.html,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2018,NA,NA,1951,2016,2016,1,2007,2006
DFO-PAC-HERRQCI-1951-2007-COLLIE,HERRQCI,DFO,DFO-PAC,1951-2007,1951,2007,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,Canada,Canada West Coast,Queen Charlotte Islands,Canada-DFO-QCI,Pacific herring Queen Charlotte Islands,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,received from contact,Current,Canada,67,this is a test entry only,NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006
WGBFAS-HERRRIGA-1976-2011-NEUBAUER,HERRRIGA,ICES,WGBFAS,1976-2011,1976,2011,VPA,XSA,Extended Survivor Analysis,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.4%20Herring%20in%20Subdivision%2030.pdf,Current,Estonia,27,NULL,0.2,NULL,except for the period 1979-1983 when a value of M=0.25 is used.,NA,NA,1977,2011,1977,2010,1977,2010,2010,7,2010,2009
WGBFAS-HERRRIGA-1976-2013-ICESIMP2016,HERRRIGA,ICES,WGBFAS,1976-2013,1976,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/her-riga_201304142205.pdf,Current,Estonia,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1977,2013,1977,2012,1977,2012,2012,6,2010,2009
WGBFAS-HERRRIGA-1976-2014-ICESIMP2016,HERRRIGA,ICES,WGBFAS,1976-2014,1976,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-riga.pdf,Current,Estonia,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1977,2014,1977,2013,1977,2013,2013,5,2010,2009
WGBFAS-HERRRIGA-1976-2015-ICESIMP2016,HERRRIGA,ICES,WGBFAS,1976-2015,1976,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-riga.pdf,Current,Estonia,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1977,2015,1977,2014,1977,2014,2014,4,2010,2009
WGBFAS-HERRRIGA-1976-2016-ICESIMP2016,HERRRIGA,ICES,WGBFAS,1976-2016,1976,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-riga.pdf,Current,Estonia,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1977,2016,1977,2015,1977,2015,2015,3,2010,2009
WGBFAS-HERRRIGA-1976-2017-ICESIMP2018,HERRRIGA,ICES,WGBFAS,1976-2017,1976,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.28.pdf,Current,Estonia,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1977,2017,1977,2016,1977,2016,2016,2,2010,2009
WGBFAS-HERRRIGA-1976-2018-ICESIMP2018,HERRRIGA,ICES,WGBFAS,1976-2018,1976,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),Gulf of Riga East of Gotland,multinational-ICES-28,Herring Gulf of Riga East of Gotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,999,,Current,Estonia,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1977,2018,1977,2017,1977,2017,2017,1,2010,2009
HAWG-HERRSIRS-1957-2010-NEUBAUER,HERRSIRS,ICES,HAWG,1957-2010,1957,2010,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf,Current,Ireland,27,NULL,NA,NA,NA,NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009
HAWG-HERRSIRS-1957-2012-ICESIMP2016,HERRSIRS,ICES,HAWG,1957-2012,1957,2012,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1958,2012,1958,2011,1958,2011,2011,7,2010,2009
HAWG-HERRSIRS-1957-2013-ICESIMP2016,HERRSIRS,ICES,HAWG,1957-2013,1957,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1958,2013,1958,2012,1958,2012,2012,6,2010,2009
HAWG-HERRSIRS-1957-2014-ICESIMP2016,HERRSIRS,ICES,HAWG,1957-2014,1957,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1958,2013,1958,2013,1958,2013,2013,5,2010,2009
HAWG-HERRSIRS-1957-2015-ICESIMP2016,HERRSIRS,ICES,HAWG,1957-2015,1957,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1958,2015,1958,2014,1958,2014,2014,4,2010,2009
HAWG-HERRSIRS-1957-2016-ICESIMP2016,HERRSIRS,ICES,HAWG,1957-2016,1957,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1958,2016,1958,2015,1958,2015,2015,3,2010,2009
HAWG-HERRSIRS-1957-2017-ICESIMP2018,HERRSIRS,ICES,HAWG,1957-2017,1957,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.irls.pdf,Current,Ireland,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1958,2017,1958,2016,1958,2016,2016,2,2010,2009
HAWG-HERRSIRS-1957-2018-ICESIMP2018,HERRSIRS,ICES,HAWG,1957-2018,1957,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 7a-g-h-j,multinational-ICES-VIIa-g-h-j,Herring ICES 7a-g-h-j,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,999,,Current,Ireland,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1958,2018,1958,2017,1958,2017,2017,1,2010,2009
DFO-HERRSOG-1951-2015-WATSON,HERRSOG,DFO,DFO,1951-2015,1951,2015,Statistical catch at age model,SCA,Statistical catch-at-age model,Canada,Canada West Coast,Strait of Georgia,Canada-DFO-SOG,Pacific herring Strait of Georgia,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006
DFO-PAC-HERRSOG-1949-2018-ASHBROOK,HERRSOG,DFO,DFO-PAC,1949-2018,1949,2018,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,Canada,Canada West Coast,Strait of Georgia,Canada-DFO-SOG,Pacific herring Strait of Georgia,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,999,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2018/2018_002-eng.html,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2018,NA,NA,1951,2016,2016,1,2007,2006
DFO-PAC-HERRSOG-1951-2007-COLLIE,HERRSOG,DFO,DFO-PAC,1951-2007,1951,2007,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,Canada,Canada West Coast,Strait of Georgia,Canada-DFO-SOG,Pacific herring Strait of Georgia,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,received from contact,Current,Canada,67,this is a test entry only,NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006
HAWG-HERRVIa-1956-2010-NEUBAUER,HERRVIa,ICES,HAWG,1956-2010,1956,2010,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,multinational,Europe (EU),West of Scotland,multinational-ICES-VIa,Herring West of Scotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2005%20Herring%20in%20Division%20VIa%20(North).pdf,Current,Great Britain,27,NULL,NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,3,2010,2009
HAWG-HERRVIa-1956-2013-ICESIMP2016,HERRVIa,ICES,HAWG,1956-2013,1956,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),West of Scotland,multinational-ICES-VIa,Herring West of Scotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-vian.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2013,1957,2012,1957,2012,2012,2,2010,2009
HAWG-HERRVIa-1956-2014-ICESIMP2016,HERRVIa,ICES,HAWG,1956-2014,1956,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),West of Scotland,multinational-ICES-VIa,Herring West of Scotland,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-vian.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2013,1957,2013,1957,2013,2013,1,2010,2009
HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER,HERRVIaVIIbc,ICES,HAWG,1956-2010,1956,2010,VPA,VPA,Virtual Population Analysis,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf",Current,Great Britain,27,NULL,NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,7,2010,2009
HAWG-HERRVIaVIIbc-1956-2013-ICESIMP2016,HERRVIaVIIbc,ICES,HAWG,1956-2013,1956,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irlw.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2012,1957,2012,1957,2012,2012,6,2010,2009
HAWG-HERRVIaVIIbc-1956-2014-ICESIMP2016,HERRVIaVIIbc,ICES,HAWG,1956-2014,1956,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-irlw.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2014,1957,2013,1957,2013,2013,5,2010,2009
HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016,HERRVIaVIIbc,ICES,HAWG,1956-2015,1956,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-67bc.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2015,1957,2014,1957,2014,2014,4,2010,2009
HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016,HERRVIaVIIbc,ICES,HAWG,1956-2016,1956,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-67bc.pdf,Current,Great Britain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1957,2016,1957,2015,1957,2015,2015,3,2010,2009
HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018,HERRVIaVIIbc,ICES,HAWG,1956-2017,1956,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,0,,Current,Great Britain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1957,2017,1957,2016,1957,2016,2016,2,2010,2009
HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018,HERRVIaVIIbc,ICES,HAWG,1956-2018,1956,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 5a-7bc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES 5a-7bc,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,Herring,999,,Current,Great Britain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1957,2018,1957,2017,1957,2017,2017,1,2010,2009
DFO-HERRWCVANI-1951-2015-WATSON,HERRWCVANI,DFO,DFO,1951-2015,1951,2015,Statistical catch at age model,SCA,Statistical catch-at-age model,Canada,Canada West Coast,West Coast of Vancouver Island,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006
DFO-PAC-HERRWCVANI-1949-2018-ASHBROOK,HERRWCVANI,DFO,DFO-PAC,1949-2018,1949,2018,Statistical catch at age model,ICA,Integrated Catch-at-age Analysis,Canada,Canada West Coast,West Coast of Vancouver Island,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,999,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2018/2018_002-eng.html,Current,Canada,67,NULL,NA,NA,NA,NA,NA,1951,2018,NA,NA,1951,2016,2016,1,2007,2006
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,HERRWCVANI,DFO,DFO-PAC,1951-2007,1951,2007,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,Canada,Canada West Coast,West Coast of Vancouver Island,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii pallasii,Clupea pallasii,Pacific herring,0,received from contact,Current,Canada,67,this is a test entry only,NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2013-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES,WGWIDE,1982-2013,1982,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 2a-4a-5b-6a-7-8,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/hom-west.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1982,2013,1982,2012,1982,2012,2012,5,2012,2011
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2014-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES,WGWIDE,1982-2014,1982,2014,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 2a-4a-5b-6a-7-8,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/hom-west.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1982,2014,1982,2013,1982,2013,2013,4,2012,2011
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2015-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES,WGWIDE,1982-2015,1982,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 2a-4a-5b-6a-7-8,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/hom-west.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1982,2015,1982,2014,1982,2014,2014,3,2012,2011
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2016-ICESIMP2018,HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES,WGWIDE,1982-2016,1982,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 2a-4a-5b-6a-7-8,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/hom-west.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1982,2016,1982,2015,1982,2015,2015,2,2012,2011
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2017-ICESIMP2018,HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES,WGWIDE,1982-2017,1982,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 2a-4a-5b-6a-7-8,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/hom.27.2a4a5b6a7a-ce-k8.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1982,2017,1982,2016,1982,2016,2016,1,2012,2011
WGWIDE-HMACKIIIa-IVbc-VIId-1982-2015-ICESIMP2016,HMACKIIIa-IVbc-VIId,ICES,WGWIDE,1982-2015,1982,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4bc-7d,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel ICES 3a-4bc-7d,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/hom-nsea.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,2014,2014,3,2014,2013
WGWIDE-HMACKIIIa-IVbc-VIId-1982-2015-ICESIMP2018,HMACKIIIa-IVbc-VIId,ICES,WGWIDE,1982-2015,1982,2015,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4bc-7d,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel ICES 3a-4bc-7d,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/hom-nsea.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,2015,2015,2,2014,2013
WGWIDE-HMACKIIIa-IVbc-VIId-1982-2016-ICESIMP2018,HMACKIIIa-IVbc-VIId,ICES,WGWIDE,1982-2016,1982,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),ICES 3a-4bc-7d,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel ICES 3a-4bc-7d,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,999,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/hom.27.3a4bc7d.pdf,Current,Netherlands,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,2016,2016,1,2014,2013
WGHANSA-HMACKIXa-1992-2013-ICESIMP2016,HMACKIXa,ICES,WGHANSA,1992-2013,1992,2013,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Horse mackerel Portugese Waters -East,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,Horse mackerel,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/hom-soth.pdf,Current,Portugal,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,1992,2013,1992,2012,1992,2012,2012,6,2012,2011
