"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"LINGVa",7,"Europe (non-EU)",5,"LINGVa_5",66,1,1,2014,NA,37700,59400,0.231666666666667,0.14961496149615,9500,9500,0.24,0.24,3.96842105263158,6.25263157894737,1.41666666666667,1.02083333333333,8044.12963779093,12674.3050526467,36600,0.384,9930,NA,3.68580060422961,2.13333333333333,6588,2,5
"LINGVa",7,"Europe (non-EU)",6,"LINGVa_6",67,2,1,2014,NA,42800,59400,0.323,0.14961496149615,9930,9500,NA,0.24,4.31017119838872,6.25263157894737,1.79444444444444,1.02083333333333,7704,12674.3050526467,36600,0.384,9930,NA,3.68580060422961,2.13333333333333,6588,2,5
"LINGVa",7,"Europe (non-EU)",7,"LINGVa_7",68,3,1,2014,NA,36600,59400,0.384,0.14961496149615,9930,9500,NA,0.24,3.68580060422961,6.25263157894737,2.13333333333333,1.02083333333333,6588,12674.3050526467,36600,0.384,9930,NA,3.68580060422961,2.13333333333333,6588,2,5
"LINGVa",7,"Europe (non-EU)",8,"LINGVa_8",69,1,1,2015,NA,45300,41000,0.279,0.219761499148211,9930,9500,NA,0.24,4.5619335347432,4.31578947368421,1.55,1.16666666666667,8154,8748.25769627131,37100,0.346,9930,NA,3.7361530715005,1.92222222222222,6678,3,5
"LINGVa",7,"Europe (non-EU)",9,"LINGVa_9",70,2,1,2015,NA,37100,41000,0.346,0.219761499148211,9930,9500,NA,0.24,3.7361530715005,4.31578947368421,1.92222222222222,1.16666666666667,6678,8748.25769627131,37100,0.346,9930,NA,3.7361530715005,1.92222222222222,6678,3,5
"LINGVa",7,"Europe (non-EU)",10,"LINGVa_10",62,1,1,2016,NA,35900,45500,0.268,0.209,9930,9930,NA,NA,3.61530715005035,4.58207452165156,1.48888888888889,1.16111111111111,6462,8190,35900,0.268,9930,NA,3.61530715005035,1.48888888888889,6462,4,5
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",5,"GOLDREDV-VI-XII-XIV_5",26,1,1,2014,NA,550000,548000,0.0921818181818182,0.0923357664233577,220000,220000,0.097,0.097,1.58636363636364,1.52272727272727,1,1.05154639175258,50844.1966267,50659.3086389666,510000,0.0994117647058824,220000,0.097,1.42272727272727,1.14432989690722,47146.4368720309,2,5
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",6,"GOLDREDV-VI-XII-XIV_6",27,2,1,2014,NA,554000,548000,0.0916967509025271,0.0923357664233577,220000,220000,0.097,0.097,1.57272727272727,1.52272727272727,1.02061855670103,1.05154639175258,51213.9726021669,50659.3086389666,510000,0.0994117647058824,220000,0.097,1.42272727272727,1.14432989690722,47146.4368720309,2,5
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",7,"GOLDREDV-VI-XII-XIV_7",28,3,1,2014,NA,510000,548000,0.0994117647058824,0.0923357664233577,220000,220000,0.097,0.097,1.42272727272727,1.52272727272727,1.14432989690722,1.05154639175258,47146.4368720309,50659.3086389666,510000,0.0994117647058824,220000,0.097,1.42272727272727,1.14432989690722,47146.4368720309,2,5
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",8,"GOLDREDV-VI-XII-XIV_8",29,1,1,2015,NA,539000,542000,0.0961038961038961,0.0952029520295203,220000,220000,0.097,0.097,1.6,1.61363636363636,1.01030927835052,0.989690721649485,49827.312694166,50104.6446757662,500000,0.1032,220000,0.097,1.44545454545455,1.1340206185567,46221.9969333637,3,5
