"stockid","stocklong","region","assessment_years"
"TPSHARNEATL","Tope shark Northeast Atlantic","Europe (EU)","1978-2014,2005-2016"
"TREVALLYTRE7","Trevally New Zealand Areas TRE 7","New Zealand","1944-2005,1944-2014"
"TURBLKGSA29","Turbot Black Sea","Mediterranean-Black Sea","1950-2014,1970-2010"
"TURIIIa","Turbot Kattegat and Skagerrak","Europe (EU)","1960-2016,1964-2015"
"URAYVIIde","Undulate ray ICES 7de","Europe (EU)","1988-2015,2008-2017"
"VSNAPGM","Vermilion snapper Gulf of Mexico","US Southeast and Gulf","1950-2014,1981-2004"
"WANGLVII-VIIIabd","White anglerfish ICES 7-8abd","Europe (EU)","1986-2016,1986-2018"
"WAREHOUESE","Blue warehou Eastern half of Southeast Australia","Australia","1984-2006,1986-2008"
"WAREHOUWSE","Blue warehou Western half of Southeast Australia","Australia","1984-2006,1986-2008"
"WHAKEGBGOM","White hake Gulf of Maine / Georges Bank","US East Coast","1962-2011,1963-2014"
"WHITIIIa","Whiting Kattegat and Skagerrak","Europe (EU)","1975-2014,1975-2016"
"WHITMEDGSA29","Whiting Black Sea","Mediterranean-Black Sea","1994-2011,1994-2014"
"WHITVIIa","Whiting Irish Sea","Europe (EU)","1980-2016,1980-2017"
"WINDOWGOMGB","Windowpane flounder Gulf of Maine / Georges Bank","US East Coast","1975-2007,1975-2014"
"WINDOWSNEMATL","Windowpane flounder Southern New England /Mid Atlantic","US East Coast","1975-2007,1975-2014"
"WINFLOUN4T","Winter flounder Southern Gulf of St. Lawrence","Canada East Coast","1960-2011,1960-2012"
"WINFLOUN5Z","Winter flounder Georges Bank","US East Coast","1964-2011,1982-2014"
"WINFLOUND5Y","Winter flounder Gulf of Maine","US East Coast","1982-2008,2009-2014"
"WINFLOUNSNEMATL","Winter flounder Southern New England /Mid Atlantic","US East Coast","1980-2010,1980-2013"
"WITFLOUN5Y","Witch flounder Gulf of Maine","US East Coast","1982-2008,1982-2014"
"WITFLOUNIIIa-IV-VIId","Witch flounder ICES 3a-4-7d","Europe (EU)","1968-2015,1975-2016"
"WPOLLAI","Walleye pollock Aleutian Islands","US Alaska","1976-2013,1978-2015"
"WPOLLGA","Walleye pollock Gulf of Alaska","US Alaska","1970-2014,1970-2015"
"WPOLLNAVAR","Walleye pollock Navarinsky","Other","1984-2015,1994-2004"
"WPOLLNSO","Walleye pollock Northern Sea of Okhotsk","Other","1963-2012,1963-2017"
"WPOLLWBS","Walleye pollock Western Bering Sea","Other","1970-2008,1970-2016"
"WROCKPCOAST","Widow rockfish Pacific Coast","US West Coast","1916-2011,1916-2015"
"WSHRIMPGM","White shrimp Gulf of Mexico","US Southeast and Gulf","1984-2011,1984-2014"
"YELL3LNO","Yellowtail flounder Grand Banks","Canada East Coast","1960-2009,1960-2015"
"YELLCCODGOM","Yellowtail flounder Cape Cod / Gulf of Maine","US East Coast","1935-2008,1985-2014"
"YELLGB","Yellowtail flounder Georges Bank","US East Coast","1935-2008,1935-2015"
"YELLSNEMATL","Yellowtail flounder Southern New England /Mid Atlantic","US East Coast","1935-2011,1973-2014"
"YEYEROCKPCOAST","Yelloweye rockfish Pacific Coast","US West Coast","1916-2011,1916-2015"
"YFINATL","Yellowfin tuna Atlantic Ocean","Atlantic Ocean","1950-2011,1950-2016"
"YFINCWPAC","Yellowfin tuna Central Western Pacific Ocean","Pacific Ocean","1950-2015,1952-2012"
"YFINEIO","Yellowfin tuna Indian Ocean","Indian Ocean","1950-2014,1950-2016"
"YFINEPAC","Yellowfin tuna Eastern Pacific","Pacific Ocean","1950-2012,1950-2016"
"YSOLEBSAI","Yellowfin sole Bering Sea and Aleutian Islands","US Alaska","1949-2010,1954-2015"
"YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","US West Coast","1892-2012,1967-2005"
