"stockid","mgmt","area","primary_country"
"CKRAYIIIa-IV","ICES","ICES 3a-4","Great Britain"
"CMACKPCOAST","NMFS","Pacific Coast","USA"
"CMACKPJPN","FAJ","Pacific Coast of Japan","Japan"
"COD1abdce","ICES","NAFO 1abdce","Greenland"
"COD1f-XIV","ICES","NAFO 1f and ICES 14","Greenland"
"COD1IN","ICES","NAFO Subarea 1 (inshore)","Greenland"
"COD2J3KL","DFO","Southern Labrador-Eastern Newfoundland","Canada"
"COD3Pn4RS","DFO","Northern Gulf of St. Lawrence","Canada"
"COD3Ps","DFO","St. Pierre Bank","Canada"
"COD4TVn","DFO","Southern Gulf of St. Lawrence","Canada"
"COD5Zjm","TRAC","NAFO 5Zjm","Canada"
"CODBA2224","ICES","Western Baltic","Denmark"
"CODBA2532","ICES","Eastern Baltic","Poland"
"CODFAPL","ICES","Faroe Plateau","Faroe Islands"
"CODGOM","NMFS","Gulf of Maine","USA"
"CODICE","ICES","Iceland Grounds","Iceland"
"CODIIIaW-IV-VIId","ICES","ICES 3a(west)-4-7d","Great Britain"
"CODIS","ICES","Irish Sea","Ireland"
"CODKAT","ICES","Kattegat","Denmark"
"CODNEAR","ICES","North-East Arctic","Russia"
"CODNEARNCW","ICES","North-East Arctic (Norwegian coastal waters)","Norway"
"CODVIa","ICES","West of Scotland","Great Britain"
"CODVIb","ICES","Rockall Bank","Great Britain"
"CODVIIek","ICES","Celtic Sea","France"
"COWCODSCAL","NMFS","Southern California","USA"
"CRLOBSTERSA12","DETMCM","South Africa Areas 1-2","South Africa"
"CRLOBSTERSA34","DETMCM","South Africa Areas 3-4","South Africa"
"CRLOBSTERSA56","DETMCM","South Africa Areas 5-6","South Africa"
"CRLOBSTERSA7","DETMCM","South Africa Area 7","South Africa"
"CRLOBSTERSA8","DETMCM","South Africa Area 8","South Africa"
"CROCKPCOAST","NMFS","Pacific Coast","USA"
"CUSKI-II","ICES","North-East Arctic","Norway"
"CUSKNEATL","ICES","Northeast Atlantic","Norway"
"CUSKVa-XIV","ICES","ICES 5a-14","Iceland"
"CUSKVIb","ICES","Rockall Bank","Norway"
"CUSKXII","ICES","North of Azores","Russia"
"DAB2232","ICES","Baltic Areas 22-32","Denmark"
"DABIIIa-IV","ICES","ICES 3a-4","Denmark"
"DEEPCHAKESA","DETMCM","South Africa","South Africa"
"DEEPFLATHEADSE","AFMA","Southeast Australia","Australia"
"DKROCKPCOAST","NMFS","Pacific Coast","USA"
"DSOLEGA","NMFS","Gulf of Alaska","USA"
"DUSROCKGA","NMFS","Gulf of Alaska","USA"
"EBASSIVbc-VII","ICES","ICES 4bc-7","France"
"EBASSVIa-VIIb-j","ICES","ICES 4a-7b-j","France"
"EBASSVIIIab","ICES","ICES 8ab","France"
"EBASSVIIIc-IXa","ICES","ICES 8c-9a","Portugal"
"EFLOUN2223","ICES","Subdivisions 22-23","Denmark"
"EFLOUN2425","ICES","Subdivisions 24-25","Poland"
"EFLOUN26-28","ICES","Subdivisions 26-28","Poland"
"EFLOUN27-2932","ICES","Subdivisions 27 and 29-32","Estonia"
"EFLOUNIIIa-IV","ICES","ICES 3a-4","Denmark"
"EPOLLIV-IIIa","ICES","ICES 3a-4","Norway"
"EPOLLVIII-IXa","ICES","ICES 8-9a","France"
"ESOLEPCOAST","NMFS","Pacific Coast","USA"
"FLSOLEBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"FLSOLEGA","NMFS","Gulf of Alaska","USA"
"FMEG8c9a","ICES","ICES 8c-9a","Portugal"
"GAGSATLC","NMFS","Southern Atlantic coast","USA"
"GFORKNEATL","ICES","Northeast Atlantic","Spain"
"GGURNIIIa-IV-VIId","ICES","ICES 3a-4-7d","Netherlands"
"GHAL23KLMNO","NAFO","Labrador Shelf - Grand Banks","Canada"
"GHAL4RST","DFO","Gulf of St. Lawrence","Canada"
"GHALNEAR","ICES","North-East Arctic","Norway"
"GHALV-VI-XII-XIV","ICES","ICES 5-6-12-14","Iceland"
"GOLDREDNEAR","ICES","North-East Arctic","Norway"
"GOLDREDV-VI-XII-XIV","ICES","ICES 5-6-12-14","Iceland"
"GRAMBERGM","NMFS","Gulf of Mexico","USA"
"GSSMELTI-II-IIIa-IV","ICES","ICES 1-2-3a-4","Norway"
"GSSMELTVa-XIV","ICES","ICES 5a-14","Iceland"
"GSSMELTVb-VIa","ICES","ICES 5b-4a","Faroe Islands"
"GSSMELTVIb-VII-VIII-IX-X-XII","ICES","ICES 6b-7-8-9-10-12","Iceland"
"GTPRAWNNAUST","AFMA","Northern Australia","Australia"
"GTRIGGM","NMFS","Gulf of Mexico","USA"
"HAD3LNO","NAFO","Grand Banks","Canada"
"HAD4X5Y","DFO","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada"
"HAD5Y","NMFS","Gulf of Maine","USA"
"HADFAPL","ICES","Faroe Plateau","Faroe Islands"
"HADGB","NMFS","Georges Bank","USA"
"HADICE","ICES","Iceland Grounds","Iceland"
"HADIS","ICES","Irish Sea","Great Britain"
"HADNEAR","ICES","North-East Arctic","Norway"
"HADNS-IIIa-VIa","ICES","ICES 3a-4-6a","Iceland"
"HADROCK","ICES","Rockall Bank","Great Britain"
"HADVIIb-k","ICES","ICES 7b-k","France"
"HAKENRTN","ICES","ICES 3a-4-6-7-8abd","France"
"HAKESOTH","ICES","ICES 8c-9a","Spain"
"HERR2224IIIa","ICES","ICES 22-24-3a","Sweden"
"HERR2529-32","ICES","Subdivisions 25-29 and 32","Sweden"
"HERR30-31","ICES","Subdivisions 30-31","Finland"
"HERR4TFA","DFO","Southern Gulf of St. Lawrence (Fall spawners)","Canada"
"HERR4TSP","DFO","Southern Gulf of St. Lawrence (Spring spawners)","Canada"
"HERR4VWX","DFO","Scotian Shelf and Bay of Fundy","Canada"
"HERRCC","DFO","Central Coast","Canada"
"HERRIsum","ICES","Iceland (Summer spawners)","Iceland"
"HERRNIRS","ICES","Irish Sea","Great Britain"
"HERRNORSS","ICES","ICES 1-2-4a-5-14a (Norwegian Spring Spawners)","Norway"
