"stockid","mgmt","area","primary_country"
"WPOLLNSO","RFFA","Northern Sea of Okhotsk","Russia"
"WPOLLWBS","RFFA","Western Bering Sea","Russia"
"WROCKPCOAST","NMFS","Pacific Coast","USA"
"WSHRIMPGM","NMFS","Gulf of Mexico","USA"
"YELL3LNO","NAFO","Grand Banks","Canada"
"YELLCCODGOM","NMFS","Cape Cod / Gulf of Maine","USA"
"YELLGB","NMFS","Georges Bank","USA"
"YELLSNEMATL","NMFS","Southern New England /Mid Atlantic","USA"
"YEYEROCKPCOAST","NMFS","Pacific Coast","USA"
"YFINATL","ICCAT","Atlantic Ocean","Spain"
"YFINCWPAC","WCPFC","Central Western Pacific Ocean","Japan"
"YFINEIO","IOTC","Indian Ocean","Spain"
"YFINEPAC","IATTC","Eastern Pacific","Mexico"
"YSOLEBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"YTROCKNPCOAST","NMFS","Northern Pacific Coast","USA"
