"stockid","region","council","mgmt","area","primary_country"
"HERRWCVANI","Canada West Coast","Canada West Coast","DFO","West Coast of Vancouver Island","Canada"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Europe (EU)","Europe (EU)","ICES","ICES 2a-4a-5b-6a-7-8","Netherlands"
"HMACKIXa","Europe (EU)","Europe (EU)","ICES","Portugese Waters -East","Portugal"
"HOKIENZ","New Zealand","New Zealand","MFish","Eastern New Zealand","New Zealand"
"HOKIWNZ","New Zealand","New Zealand","MFish","Western New Zealand","New Zealand"
"JMACKPJPN","Japan","Japan","FAJ","Pacific Coast of Japan","Japan"
"JMACKTSST","Japan","Japan","FAJ","Tsushima Strait","Japan"
"KELPGREENLINGORECOAST","US West Coast","PFMC","NMFS","Oregon Coast","USA"
"KingMackerel","US South Atlantic","SAFMC",NA,NA,NA
"LINGVa","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland"
"MACKNEICES","Europe (EU)","Europe (EU)","ICES","ICES Northeast Atlantic","Norway"
"MACKNWATLSA3-4","Canada East Coast","Canada East Coast","DFO","Northwest Atlantic (NAFO Subareas 3 and 4)","Canada"
"MEG8c9a","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal"
"MEGVII-VIIIabd","Europe (EU)","Europe (EU)","ICES","ICES 7-8abd","France"
"MENATGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"MENATLAN","US East Coast","US non-federal","NMFS","Atlantic","USA"
"MONKGOMNGB","US East Coast","NEFMC","NMFS","Gulf of Maine / Northern Georges Bank","USA"
"MONKSGBMATL","US East Coast","NEFMC","NMFS","Southern Georges Bank / Mid-Atlantic","USA"
"MORWONGESE","Australia","Australia","AFMA","Eastern half of Southeast Australia","Australia"
"MORWONGWSE","Australia","Australia","AFMA","Western half of Southeast Australia","Australia"
"MuttonSnapper","US South Atlantic","SAFMC",NA,NA,NA
"NEPHMEDGSA5","Mediterranean-Black Sea","MBS","GFCM","Balearic Island","Spain"
"NEPHMEDGSA9","Mediterranean-Black Sea","MBS","GFCM","Ligurian and North Tyrrhenian Sea","Italy"
"NPOUTIIIa-IV","Europe (EU)","Europe (EU)","ICES","ICES 3a-4","Denmark"
"NROCKBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"NROCKGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"NRSOLEEBSAI","US Alaska","NPFMC","NMFS","Eastern Bering Sea and Aleutian Islands","USA"
"OFLOUNECS","Japan","Japan","FAJ","East China Sea","Japan"
"OFLOUNNSJ","Japan","Japan","FAJ","Sea of Japan North","Japan"
"OFLOUNPAC","Japan","Japan","FAJ","Pacific Ocean","Japan"
"OFLOUNSETO","Japan","Japan","FAJ","Inland Sea of Japan","Japan"
"OROUGHYSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"PACBTUNA","Pacific Ocean","POHS","ISC","Pacific Ocean","Japan"
"PANCHPERUNC","South America","South America","IMARPE","North-Central Peruvian coast","Peru"
"PATGRENADIERCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile"
"PATGRENADIERSARG","South America","South America","CFP","Southern Argentina","Argentina"
"PAUANPAU5A","New Zealand","New Zealand","MFish","NZ Area North PAUA 5A","New Zealand"
"PAUAPAU5B","New Zealand","New Zealand","MFish","New Zealand Area PAU 5B (Stewart Island)","New Zealand"
"PAUAPAU5D","New Zealand","New Zealand","MFish","New Zealand Area PAU 5D (Otago)","New Zealand"
"PAUAPAU7","New Zealand","New Zealand","MFish","New Zealand Area PAU 7 (Marlborough)","New Zealand"
"PAUASPAU5A","New Zealand","New Zealand","MFish","NZ Area South PAUA 5A","New Zealand"
"PCODGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
