"stockid","region","council","mgmt","area","primary_country","lme_number"
"HERRQCI","Canada West Coast","Canada West Coast","DFO","Queen Charlotte Islands","Canada",2
"HERRRIGA","Europe (EU)","Europe (EU)","ICES","Gulf of Riga East of Gotland","Estonia",23
"HERRSIRS","Europe (EU)","Europe (EU)","ICES","ICES 7a-g-h-j","Ireland",24
"HERRSOG","Canada West Coast","Canada West Coast","DFO","Strait of Georgia","Canada",2
"HERRVIa","Europe (EU)","Europe (EU)","ICES","West of Scotland","Great Britain",24
"HERRVIaVIIbc","Europe (EU)","Europe (EU)","ICES","ICES 5a-7bc","Great Britain",24
"HERRWCVANI","Canada West Coast","Canada West Coast","DFO","West Coast of Vancouver Island","Canada",2
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Europe (EU)","Europe (EU)","ICES","ICES 2a-4a-5b-6a-7-8","Netherlands",24
"HMACKIXa","Europe (EU)","Europe (EU)","ICES","Portugese Waters -East","Portugal",25
"HOKIENZ","New Zealand","New Zealand","MFish","Eastern New Zealand","New Zealand",46
"HOKIWNZ","New Zealand","New Zealand","MFish","Western New Zealand","New Zealand",46
"JMACKPJPN","Japan","Japan","FAJ","Pacific Coast of Japan","Japan",49
"JMACKTSST","Japan","Japan","FAJ","Tsushima Strait","Japan",50
"KELPGREENLINGORECOAST","US West Coast","PFMC","NMFS","Oregon Coast","USA",3
"KingMackerel","US South Atlantic","SAFMC",NA,NA,NA,6
"LINGVa","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland",59
"MACKNEICES","Europe (EU)","Europe (EU)","ICES","ICES Northeast Atlantic","Norway",24
"MACKNWATLSA3-4","Canada East Coast","Canada East Coast","DFO","Northwest Atlantic (NAFO Subareas 3 and 4)","Canada",9
"MEG8c9a","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal",25
"MEGVII-VIIIabd","Europe (EU)","Europe (EU)","ICES","ICES 7-8abd","France",24
"MENATGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"MENATLAN","US East Coast","US non-federal","NMFS","Atlantic","USA",7
"MONKGOMNGB","US East Coast","NEFMC","NMFS","Gulf of Maine / Northern Georges Bank","USA",7
"MONKSGBMATL","US East Coast","NEFMC","NMFS","Southern Georges Bank / Mid-Atlantic","USA",7
